lexicon,mps,neighbors,avg_lev,num_words,avg_cluster,transitivity,big_com
359,16116,20232,4.97529594538,6197,0.274553920686,0.328729716597,0.0303372599645
360,16156,20131,4.9749838866,6197,0.279517940953,0.331135380893,0.0329191544296
361,16090,20127,4.97282249798,6197,0.277320575612,0.334205112832,0.0313054703889
362,16357,20415,4.97440128311,6197,0.280709159297,0.332979637209,0.0317895756011
363,16611,20685,4.96941360347,6197,0.281424041543,0.327974752694,0.031628207197
364,15830,19809,4.97725830602,6197,0.282145156974,0.326972362306,0.0301758915604
365,16368,20346,4.97224301977,6197,0.274814973097,0.330956699468,0.0342101016621
366,16233,20183,4.97453369063,6197,0.286148505013,0.331016670254,0.033887364854
367,16476,20446,4.97690124327,6197,0.277525877562,0.329872330167,0.031466838793
368,16208,20154,4.9748263727,6197,0.270586013806,0.329722518859,0.0304986283686
369,16194,20201,4.9768859815,6197,0.26660048082,0.329546570079,0.0356624172987
370,16799,20837,4.97227458506,6197,0.272685964962,0.337286147013,0.0342101016621
371,16521,20601,4.97411964368,6197,0.278978438903,0.334845681052,0.0321123124092
372,16248,20208,4.97403062541,6197,0.279152563932,0.331030207006,0.0322736808133
373,16276,20267,4.96981259701,6197,0.277902516432,0.335654785362,0.0311441019848
374,16035,19916,4.97459713373,6197,0.274050046461,0.330205366407,0.033887364854
375,16244,20182,4.97713517016,6197,0.275019310703,0.331176378627,0.029207681136
376,16299,20319,4.97444107829,6197,0.272421921806,0.329003173473,0.0327577860255
377,15978,19943,4.97813322696,6197,0.275122981909,0.327624112733,0.0343714700662
378,16426,20373,4.97293683099,6197,0.27858041302,0.334637945086,0.0321123124092
379,16215,20207,4.97318237349,6197,0.278056786103,0.330217566479,0.031628207197
380,16219,20131,4.97464875286,6197,0.281596787523,0.333974912974,0.031628207197
381,16162,20176,4.97192398121,6197,0.280189990007,0.326878657891,0.0295304179442
382,16241,20288,4.97255961021,6197,0.273799919706,0.340215463794,0.0346942068743
383,16655,20651,4.97303470421,6197,0.277734853043,0.334255097398,0.0329191544296
384,15900,19865,4.97728747526,6197,0.280374604453,0.333383583591,0.0296917863482
385,16472,20455,4.97447436248,6197,0.275832546491,0.330575517845,0.0350169436824
386,16242,20126,4.97457082932,6197,0.274326507482,0.330551283342,0.0366306277231
387,16409,20433,4.97278051511,6197,0.27459756197,0.329712822278,0.0346942068743
388,16107,20003,4.97551398545,6197,0.281860179172,0.334135499532,0.0313054703889
389,16636,20676,4.9731564337,6197,0.276369791548,0.335251283737,0.0335646280458
390,16344,20390,4.97246454974,6197,0.276830590635,0.32809992348,0.0329191544296
391,16500,20471,4.97563910066,6197,0.283343268901,0.331562724153,0.0353396804906
392,15984,19936,4.97749296214,6197,0.280011248519,0.330055874675,0.0327577860255
393,16169,20202,4.976947289,6197,0.27438383006,0.330828715659,0.0325964176214
394,15974,19954,4.97496945824,6197,0.272470478783,0.3298704208,0.0345328384702
395,16394,20479,4.97655834843,6197,0.274161200384,0.333681503567,0.0334032596418
396,16356,20251,4.97479433863,6197,0.282126865587,0.333371890873,0.0346942068743
397,16374,20422,4.97779033213,6197,0.277265878994,0.332817264521,0.0335646280458
398,16367,20323,4.9722191635,6197,0.280906663587,0.333003952569,0.0343714700662
399,16090,20164,4.97429398198,6197,0.284492972371,0.331111288105,0.031628207197
400,16688,20662,4.97158567011,6197,0.281151443633,0.332802873726,0.029046312732
401,16278,20280,4.97419944239,6197,0.281621770027,0.33686132747,0.0301758915604
402,16083,19987,4.97849706115,6197,0.274240759033,0.327961981563,0.0317895756011
403,16308,20289,4.97188679043,6197,0.286025634536,0.331343314045,0.0332418912377
404,16229,20167,4.97401322804,6197,0.284441875562,0.328320612002,0.0306599967726
405,15953,19848,4.97545418851,6197,0.270736489502,0.330831908471,0.0350169436824
406,16161,20110,4.97497617759,6197,0.273508947834,0.331604888633,0.0300145231564
407,16428,20382,4.97663799087,6197,0.283156624342,0.332077733926,0.0313054703889
408,16308,20190,4.96997433003,6197,0.28052455791,0.332200501047,0.0308213651767
409,16437,20492,4.97334790892,6197,0.284887975546,0.33325820426,0.031628207197
410,15959,19934,4.97521458404,6197,0.270806236942,0.329431648785,0.0288849443279
411,16376,20312,4.97155311516,6197,0.28880480149,0.333371093112,0.0322736808133
412,16480,20465,4.97332499024,6197,0.280694505097,0.331836882379,0.0361465225109
413,16693,20646,4.97230328551,6197,0.277441384139,0.335092382965,0.0308213651767
414,16366,20388,4.97527771461,6197,0.28300091414,0.332120566449,0.031628207197
415,16427,20582,4.97161921474,6197,0.288154029532,0.33488553616,0.0330805228336
416,16750,20730,4.96811176986,6197,0.276630090771,0.333279405674,0.031466838793
417,16049,20066,4.97107156225,6197,0.274737583544,0.329116198704,0.0348555752784
418,16260,20264,4.97635671606,6197,0.276463607205,0.334524201682,0.0351783120865
419,16541,20515,4.97345291819,6197,0.27281244394,0.335818888671,0.036469259319
420,16378,20337,4.97476110653,6197,0.276699612522,0.331809088311,0.031466838793
421,16408,20406,4.97779314487,6197,0.278068100737,0.327817453405,0.0319509440052
422,16407,20470,4.97403041706,6197,0.274514525479,0.334248533298,0.0327577860255
423,16126,20025,4.97680165115,6197,0.278078868034,0.32801647049,0.0308213651767
424,16348,20408,4.97211983182,6197,0.28333913429,0.333232102365,0.0293690495401
425,16327,20276,4.97586865216,6197,0.279484228312,0.335609446093,0.0327577860255
426,16469,20437,4.97173865236,6197,0.275724333054,0.332228492736,0.0324350492174
427,16690,20728,4.96956929429,6197,0.280960044771,0.335766256648,0.0313054703889
428,15872,19841,4.97672221705,6197,0.276431029016,0.332538648188,0.0321123124092
429,16158,20248,4.9745877579,6197,0.28311828169,0.328239364086,0.034048733258
430,16205,20053,4.97250455327,6197,0.277465176736,0.332027995334,0.0327577860255
431,16531,20605,4.97565352901,6197,0.278169404916,0.331403205275,0.0298531547523
432,16248,20176,4.97189007197,6197,0.282045641232,0.333093566873,0.0311441019848
433,16626,20672,4.97140909203,6197,0.284052848126,0.331872903357,0.0356624172987
434,16363,20310,4.97812801817,6197,0.277906186826,0.331545927949,0.0337259964499
435,16444,20377,4.97433169364,6197,0.276574256391,0.333907273365,0.0313054703889
436,15938,19948,4.97393223131,6197,0.268728708495,0.32512975231,0.0343714700662
437,16413,20486,4.97461807307,6197,0.279008015184,0.330837400118,0.0342101016621
438,16108,20076,4.97333889771,6197,0.276055727009,0.331140167364,0.0300145231564
439,16479,20497,4.97262253243,6197,0.273692818915,0.334724629951,0.0287235759238
440,16290,20267,4.97479506786,6197,0.281168741852,0.334645056507,0.0335646280458
441,16482,20473,4.97271509268,6197,0.28375651084,0.336737313236,0.0322736808133
442,16557,20566,4.97429314857,6197,0.280377919266,0.329955761327,0.0285622075198
