lexicon,pairs,count
real,E_Q,61
real,E_V,60
real,E_U,17
real,$_s,2
real,$_t,1
real,$_u,44
real,$_i,61
real,E_I,93
real,1_f,2
real,1_d,1
real,1_b,1
real,1_n,1
real,1_m,2
real,1_l,1
real,1_k,1
real,1_i,108
real,1_u,74
real,1_t,1
real,1_s,2
real,1_r,1
real,1_p,1
real,1_{,68
real,1_z,1
real,1_E,62
real,1_@,4
real,$_3,47
real,$_1,72
real,1_J,1
real,1_I,94
real,$_5,58
real,1_V,62
real,1_U,17
real,1_T,1
real,1_Q,57
real,k_s,143
real,N__,5
real,N_T,3
real,N_S,10
real,N_z,2
real,N_t,19
real,N_v,5
real,N_p,22
real,N_s,13
real,N_l,20
real,N_m,15
real,N_n,14
real,N_k,28
real,N_d,14
real,N_f,9
real,N_g,19
real,N_b,14
real,U_b,2
real,U_f,9
real,U_d,5
real,U_k,5
real,U_i,15
real,U_n,6
real,U_m,6
real,U_l,1
real,U_s,3
real,U_p,4
real,U_v,1
real,U_u,4
real,U_t,4
real,U_{,16
real,U_z,1
real,U_V,7
real,l_m,143
real,U__,2
real,D_z,7
real,D_r,9
real,D_s,11
real,D_p,16
real,D_v,10
real,D_w,11
real,D_t,21
real,D_j,4
real,D_k,14
real,D_h,12
real,D_i,1
real,D_n,16
real,D_l,13
real,D_m,15
real,D_b,11
real,D_f,14
real,D_g,6
real,D_d,15
real,D__,5
real,D_S,7
real,D_T,2
real,D_J,7
real,D_N,1
real,b_h,69
real,b_j,24
real,b_k,138
real,b_l,96
real,b_m,107
real,b_n,76
real,b_d,112
real,b_f,121
real,b_g,105
real,b_z,15
real,b_{,1
real,b_p,131
real,b_r,82
real,b_s,104
real,b_t,137
real,b_v,31
real,b_w,66
real,h_v,17
real,h_w,63
real,h_t,59
real,h_r,72
real,h_s,63
real,h_p,67
real,n_t,182
real,n_v,52
real,n_w,45
real,n_p,119
real,n_r,55
real,n_s,114
real,h_n,47
real,h_l,58
real,h_m,71
real,h_j,21
real,h_k,80
real,u_{,45
real,T_j,4
real,T_k,47
real,T_h,11
real,T_n,24
real,T_l,32
real,T_m,30
real,T_b,27
real,T_f,24
real,T_g,16
real,T_d,40
real,T_z,9
real,T_{,1
real,T_r,14
real,T_s,23
real,T_p,35
real,T_v,10
real,T_w,13
real,T_t,38
real,T__,14
real,T_U,2
real,J_N,10
real,J_Q,2
real,J_R,11
real,J_S,32
real,J_T,18
real,J__,26
real,J_b,52
real,J_d,60
real,J_f,46
real,J_g,40
real,J_h,29
real,J_j,12
real,J_k,76
real,J_l,66
real,J_m,59
real,J_n,52
real,J_p,70
real,J_r,32
real,J_s,51
real,J_t,81
real,J_v,21
real,J_w,24
real,J_z,20
real,g_{,2
real,g_z,13
real,g_t,103
real,g_w,33
real,g_v,23
real,g_p,87
real,g_s,66
real,g_r,47
real,g_m,75
real,Q_V,71
real,Q_U,17
real,g_n,68
real,g_h,40
real,g_k,120
real,g_j,14
real,Q__,1
real,Q_g,1
real,Q_f,3
real,Q_d,1
real,Q_b,1
real,5_r,1
real,Q_n,1
real,Q_m,2
real,Q_l,3
real,Q_k,4
real,Q_i,70
real,Q_h,1
real,t_z,53
real,Q_u,33
real,Q_t,2
real,Q_s,2
real,Q_r,7
real,Q_p,3
real,Q_{,95
real,t_w,73
real,5_{,62
real,3_5,34
real,3_Q,48
real,3_U,13
real,3_V,42
real,3_@,2
real,3_E,34
real,3_I,59
real,k_{,2
real,k_z,42
real,3_u,20
real,g_l,64
real,k_p,212
real,3_{,44
real,k_r,61
real,k_t,216
real,k_w,63
real,k_v,62
real,Q_T,1
real,k_m,148
real,k_l,156
real,k_n,137
real,3_i,41
real,P__,1
real,P_k,8
real,P_i,1
real,P_d,2
real,P_z,3
real,P_t,16
real,P_s,8
real,P_p,4
real,@__,1
real,@_V,1
real,@_T,2
real,@_S,2
real,@_P,4
real,@_Q,5
real,@_N,1
real,@_J,1
real,@_H,1
real,@_I,6
real,@_E,3
real,@_{,1
real,@_v,1
real,@_t,10
real,@_u,1
real,@_s,18
real,@_p,7
real,@_n,7
real,@_l,7
real,@_m,2
real,@_k,5
real,@_f,5
real,@_g,2
real,@_d,8
real,@_b,3
0,#_b,7
0,#_d,5
0,#_g,5
0,#_f,4
0,#_i,37
0,#_h,3
0,#_k,5
0,#_j,1
0,#_m,4
0,#_l,4
0,#_n,3
0,#_p,8
0,#_s,7
0,#_r,13
0,#_u,29
0,#_t,5
0,#_w,8
0,#_v,2
0,#_{,43
0,#_@,14
0,#_E,40
